,Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades ,Unnamed: 10
1748,512175,VAMA,XT,5.21,5.3,4.95,5.02,6218,0.32,25,
1749,522101,KLBRENG-B,X,13.16,14.38,13.16,14.01,2381,0.32,31,
1750,523100,COSMOFE,X,3.67,3.67,3.67,3.67,8590,0.32,4,
1751,526433,ASMTEC,X,62.0,62.25,62.0,62.25,519,0.32,14,
1752,524824,BALPHARMA,B,37.1,38.75,37.1,38.15,831,0.32,39,
1753,500402,SPMLINFRA,B,7.77,7.8,7.28,7.8,4318,0.32,12,
1754,508933,AYMSYNTEX,B,16.0,16.0,16.0,16.0,2000,0.32,6,
1755,504605,UNIABEXAL,X,378.8,378.85,378.8,378.85,85,0.32,4,
1756,541178,BENARA,M,16.0,16.0,16.0,16.0,2000,0.32,1,
1757,541006,ANGEL,M,7.87,7.87,7.87,7.87,4000,0.31,1,
1758,540681,CHOTHANI,M,3.08,3.08,3.08,3.08,10000,0.31,1,
1759,590065,IMPAL,B,505.0,507.0,501.0,502.6,61,0.31,19,
1760,520021,OMAXAUTO,B,24.8,25.35,24.7,25.3,1209,0.31,10,
1761,532729,UTTAMSUGAR,B,64.0,64.0,61.35,61.55,503,0.31,30,
1762,538634,VRL,X,34.3,35.1,34.25,34.95,895,0.31,11,
1763,532759,ATLANTA,B,6.7,6.79,6.55,6.77,4575,0.31,34,
1764,533177,IL&FSTRANS,Z,1.02,1.06,0.96,1.05,29179,0.31,17,
1765,532761,HOVS,B,37.6,38.95,37.6,38.5,776,0.3,53,
1766,532410,TRANSCOR,X,7.2,7.21,6.87,7.2,4261,0.3,34,
1767,531726,PANCHSHEEL,X,50.0,50.0,50.0,50.0,600,0.3,8,
1768,505250,GGDANDE,X,31.0,31.5,31.0,31.4,950,0.3,3,
1769,500150,FOSECOIND,B,1021.0,1021.0,1012.05,1019.2,28,0.29,9,
1770,514326,PATSPINLTD,B,4.09,4.17,3.8,4.17,7007,0.29,14,
1771,513509,KALYANIFRG,T,127.0,131.0,127.0,131.0,224,0.29,2,
1772,522251,CENLUB,X,27.5,29.0,27.0,28.0,1049,0.29,8,
1773,555555,ICICISENSX,B,358.64,363.57,355.2,361.3,79,0.29,21,
1774,540175,REGENCY,X,27.5,27.5,27.25,27.25,1016,0.28,5,
