Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades ,
532329,DANLAW,X,46.00,46.00,42.05,45.50,170,0.08,10,
530047,MOHOTAIND,B,6.88,6.93,6.88,6.93,1216,0.08,4,
530207,BRAWN,XT,24.10,25.30,23.10,25.30,347,0.08,8,
539229,MRSS,M,6.30,6.30,6.30,6.30,1200,0.08,2,
534623,JUPITERIN,B,23.80,24.40,23.05,24.20,323,0.08,7,
532900,PAISALO,B,160.90,160.90,158.10,158.10,50,0.08,14,
533451,KARMAENG,B,8.25,8.88,8.25,8.80,927,0.08,20,
533167,COROENGG,X,18.00,18.00,17.10,18.00,427,0.07,7,
532916,BVCL,T,11.20,11.20,11.05,11.05,648,0.07,6,
535621,SVGLOBAL,X,39.90,39.90,38.05,39.90,188,0.07,7,
538922,COSYN,X,15.50,17.00,15.50,17.00,397,0.07,11,
539196,AEL,X,12.00,12.00,11.87,11.87,585,0.07,10,
539428,TEJNAKSH,T,42.75,47.00,42.75,47.00,165,0.07,6,
530419,SUMEDHA,X,15.17,15.17,14.43,14.50,442,0.07,4,
526666,BIL,B,89.10,90.90,89.10,90.90,81,0.07,8,
530897,NGIND,X,45.05,46.75,45.05,45.75,150,0.07,4,
530977,SKCIL,X,23.45,25.80,23.45,25.80,310,0.07,2,
531437,PWASML,X,21.75,21.75,18.80,20.65,342,0.07,15,
532365,DSSL,B,17.80,17.85,17.80,17.85,375,0.07,4,
532624,JINDALPHOT,B,12.75,13.19,11.96,13.03,546,0.07,6,
506919,MAKERSL,X,41.00,41.00,40.00,41.00,160,0.07,4,
500155,GARDENSILK,B,6.45,6.45,6.45,6.45,1153,0.07,6,
500284,LORDSCHLO,XT,31.30,32.65,31.30,32.60,200,0.07,7,
500354,RAJSREESUG,B,13.35,13.66,13.15,13.21,537,0.07,11,
511501,BHARAT,X,12.76,12.76,11.91,12.76,583,0.07,19,
511768,MASTERTR,X,12.60,12.60,12.60,12.60,535,0.07,5,
522029,WINDMACHIN,B,13.95,14.28,13.95,14.28,462,0.07,35,
523628,PODDAR,B,155.00,155.00,155.00,155.00,47,0.07,8,
523790,SHUKJEW,P,17.00,17.00,17.00,17.00,400,0.07,1,
526315,DIVSHKT,X,35.25,35.25,35.25,35.25,200,0.07,3,
526640,RAYALEMA,XT,10.50,10.60,10.03,10.50,673,0.07,6,
541741,TINNATFL,X,13.03,13.03,11.80,12.96,520,0.07,7,
541309,IPRU3095,B,7.26,7.26,7.26,7.26,1000,0.07,1,
590109,SHARIABEES,B,250.00,257.00,245.00,245.00,29,0.07,6,
541005,KANCOTEA,X,30.85,30.85,28.75,30.85,206,0.06,6,
524606,BERLDRG,X,4.69,4.70,4.69,4.70,1235,0.06,6,
523489,CMMHOSP,X,12.25,12.86,12.25,12.86,518,0.06,3,
513528,GLITTEKG,X,0.89,0.89,0.89,0.89,7000,0.06,3,
516007,MANGTIMBER,B,6.37,6.37,6.37,6.37,1000,0.06,1,
507598,KLRFM,X,28.30,29.40,28.25,29.40,202,0.06,6,
509692,INDIANCARD,B,90.00,90.00,84.05,88.00,72,0.06,10,
511131,KAMANWALA,X,4.20,4.20,4.20,4.20,1500,0.06,4,
511076,SATINDLTD,X,19.50,19.85,18.30,19.85,302,0.06,6,
504335,PAZEL,X,0.49,0.49,0.45,0.49,13087,0.06,6,
504273,MODULEX,X,13.25,13.25,13.25,13.25,450,0.06,4,
532686,KERNEX,T,12.58,12.58,12.01,12.01,500,0.06,3,
531609,KGPETRO,XT,50.45,51.80,50.45,51.80,128,0.06,5,
